,0,1,2
17,2020-03-26 23:48:13+00:00,"Respected Sir, I am a student studying in Sydney. The COVID-19 cases have surpassed 3000 and getting worst. We request you to help us come back to our home country. Please, Save us. @narendramodi @PMOIndia @MEAIndia @DrSJaishankar @MoHFW_INDIA @IndiaToday @ABPNews @abpmajhatv",aniketkwadkar
18,2020-03-26 23:45:47+00:00,The Viral Explosion: A State-Wise Projection Map For Covid-19 In India https://swarajyamag.com/science/the-viral-explosion-a-state-wise-projection-map-for-covid-19-in-india via @swarajyamag,atr_sumana
19,2020-03-26 23:45:12+00:00,India is not messing around with covid 19. If you are breaking curfew you will be beaten by police no questions asked ,Passengershelp
20,2020-03-26 23:43:23+00:00,Pakistan never cared about our #Kashmir @PMOIndia #POK #baluchistan must be set free &amp; India to protect local culture &amp; ppl under threat there soon Pakistan army forcibly moving Covid-19 positive patients to PoK and Gilgit http://toi.in/1VflIY44/a24gj via @timesofindia,RKJustice4all
21,2020-03-26 23:42:26+00:00,"There were no physical editions of Times of India, Hindustan Times &amp; others in Mumbai as the newspaper vendor associations in Mumbai hv decided to suspend delivery in the wake of the #COVID outbreak. Newspapers, however, said delivery will be resumed soon ",manojgjha
22,2020-03-26 23:40:00+00:00,Los policías de India aplican unos métodos peculiares para castigar a las personas que se saltan la cuarentena por la pandemia de covid-19 ,ActualidadRT
23,2020-03-26 23:38:06+00:00,"The human and economic toll of lockdowns against COVID-19 mounted Thursday as India struggled to feed the multitudes, Italy shut down most of its industry, and a record-shattering 3.3 million Americans applied for unemployment benefits in one week. ",newscourier
24,2020-03-26 23:36:27+00:00,"Covid-19 Outbreak – India announces First relief measures This week, amidst the deadly contagion, for the first time, the Indian FM announced several relief measures relating to Statutory and Regulatory compliance matters: Click: https://gjmco.blogspot.com/2020/03/covid-19-outbreak-india-announces-first.html #COVID2019 #India ",GJMCO
25,2020-03-26 23:35:50+00:00,"Covid-19 Outbreak – India announces First relief measures This week, amidst the deadly contagion, for the first time, the Indian FM announced several relief measures relating to Statutory and Regulatory compliance matters: Click: https://gjmco.blogspot.com/2020/03/covid-19-outbreak-india-announces-first.html #COVID2019 #India ",gauravjmehta
26,2020-03-26 23:34:54+00:00,"“We expect 55 percent of the Indian people will get Covid-19 infection: 300 to 500 million cases over the next four months,” Dr. SP Kalantri, the medical superintendent of the Kasturba Hospital in central India, told me before Modi announced the lockdown.",_RaghavJain
27,2020-03-26 23:34:00+00:00,"Re-Up: Janta Curfew, Lockdown Blow: Covid-19 India Growth Curve Tumbles Down! #Covid19India #JantaCurfew #Lockdown #OdishaTVExclusive https://odishatv.in/coronavirus/janta-curfew-lockdown-blow-covid-19-india-growth-curve-tumbles-down-442505",otvnews
28,2020-03-26 23:30:09+00:00,#CoronaVirus #Covid_19 #India #भारत,World_News_YoTu
29,2020-03-26 23:27:51+00:00,Na Índia a erradicação do Covid 19 tá assim ,jr55252815_jr
30,2020-03-26 23:25:20+00:00,"Check out this study from University of Michigan on Covid-19 in India. Considers all scenarios such as no intervention, only social distancing and total lockdown. ",irantbcosishud
31,2020-03-26 23:22:10+00:00,COVID-19 Live: India's cases soar ,AnilP18101729
32,2020-03-26 23:22:00+00:00,"There’s a moron in the White House. Rex Tillerson told us. But we already knew he was incompetent. His incompetence is getting more valuable people killed. Number one in COVID-19 cases as of this afternoon. Not China, India, Indonesia - AMERICA! Healthcare workers endangered!",OvalEmpire
33,2020-03-26 23:21:48+00:00,"One of the biggest concerns that hasn’t been televised yet is that India, who has been manufacturing a lot of medicine that treats COVID-19, has decided to not export anymore to other countries outside of their own country. Political war.",haiasiii_
34,2020-03-26 23:21:47+00:00,Delhi: Daily wage workers walk on Ring Road near Hyatt hotel for their homes in the nearby districts of Uttar Pradesh. #coronavirusindia #dailywagers #covidindia ,WeForNews
35,2020-03-26 23:20:26+00:00,"The world’s second-most populous country, #India, is doing better than 40 countries and a ship by number of #COVID-19 infections. The data may be hiding much more than it is revealing. Read the full story here: https://arab.news/r5hne",arabnews
36,2020-03-26 23:19:35+00:00,COVID-19: India goes silent as 1.3 billion told to stay home ,SorishaPragyan
37,2020-03-26 23:18:10+00:00,"I would like the $1,000,000 in lost wages caused by the globalists cost me when they outsourced our jobs to India and China. I think all assets owned by China in the United States should be forfeited as a result of COVID-19. ",JohnSwansonSR
38,2020-03-26 23:17:23+00:00,"WHO Envoy, Dr. David Nabarro On India's Fight Against COVID-19 | News To... https://youtu.be/QPCuTW7ST44 via @YouTube",UsSsj
39,2020-03-26 23:15:33+00:00,"In line with the motto of ""Service and Loyalty"", CRPF @crpfindia officers and jawans donated Rs 33 Crore 81 Lakhs Yesterday to PM National Relief Fund for its use in the fight against ongoing crisis of #COVID CRPF stands committed in the service of the people of India ",Bld4K
40,2020-03-26 23:14:57+00:00,On the contrary I wish the police in the UK would do the same and beat those idiots sunbathing at parks! It’s a pandemic and the staying home will save millions of lives.,MohamedAbdulwa
41,2020-03-26 23:14:03+00:00,Coronavirus cases in India rise to 606 | Death toll stand at 10 | COVID-19 - WION ,drnoahross
42,2020-03-26 23:13:56+00:00,"Mais de 500 mil pessoas infectadas no mundo pelo covid-19. Índia coloca 1.3 bilhão de cidadãos em quarentena. Nos EUA, mais de 80 mil infectados. No Reino Unido, apesar da farta oferta de UTIs, 578 mortos. Segundo alguns, tudo faz parte de uma conspiração para derrubar Bolsonaro.",muylaerte
43,2020-03-26 23:13:35+00:00,"Wait, so we wanted mass COVID-19 testing in the U.S., the country with the third largest population in the world next to China and India (how many are those countries testing?), and we didn't expect to end up with the most cases?",JJStarflyer
44,2020-03-26 23:13:17+00:00,Coronavirus update India: Total number of confirmed Covid 19 cases in India rises to 649 | India News - Times of India ,B56946072
45,2020-03-26 23:12:05+00:00,"Problem slum walo se nhi hai, real prob unse hai jo padhe likhe hai aur slum walo se b bura behave kr rhe hain, all these covid +ve ppl in India r frm well 2 do family.",koffee__addict
46,2020-03-26 23:11:49+00:00,Look what I shared: COVID-19 Tracker | India @MIUI|,vikrambhutani
47,2020-03-26 23:09:49+00:00,"Mais de 500 mil pessoas infectadas no mundo pelo covid-19. Índia coloca 1.3 bilhões de cidadãos em quarentena. Nos EUA, mais de 80 mil infectados. No Reino Unido, apesar da farta oferta de UTIs, 578 mortos. Segundo alguns, tudo é parte de uma conspiração para derrubar Bolsonaro.",muylaerte
48,2020-03-26 23:09:10+00:00,Indianapolis 500 postponed until August because of COVID-19 – Times of India https://www.onfii.com/indianapolis-500-postponed-till-august-due-to-covid-19-times-of-india/,dreamideaz
49,2020-03-26 23:08:43+00:00,"On hindsight this is not cruelty.. why did the people go to mosque ...to spread Covid... at times laws, law makers and enforcers have to act tough. Be happy you are in India.. just imagine had you been in China the scene would have been different.",ManishS16473689
50,2020-03-26 23:06:53+00:00,‘India has tremendous capacity to combat COVID-19’: WHO Executive Director https://youtu.be/bydILYTQUsA via @YouTube,stockshakers
51,2020-03-26 23:06:47+00:00,En India así se enfrenta el COVID 19 https://youtu.be/8IWS44Syx-g vía @YouTube,carlosanguianoz
52,2020-03-26 23:06:04+00:00,"Kejadian di Bengal, India. Orang meninggal bukan karena terinfeksi covid-19, melainkan aksi kekerasaan oleh polisi India ketika berlakukan lockdon Ada ratusan juta warga miskin, kumuh, dan tdk punya tempat tinggal memadai, diambang mengalami kelaparan.",kurniawandkj
53,2020-03-26 23:05:55+00:00,Come on @KasthuriShankar Stop spreading hatred right now.. #covidindia is nothing to do with religions.. Stay safe and be good!,__BeingHuman__
54,2020-03-26 23:05:54+00:00,G20 on Covid-19: PM Modi calls for stronger WHO to fight pandemics - Times of India...,newsnation_24
55,2020-03-26 23:05:40+00:00,I'm talking with actress and leading body dysmorphia activist @karmamccain on her recent travels through India during the COVID-19 crisis and how she's adapting her business in this difficult time. Karma McCain - Abundance Hacker Spotlight https://youtu.be/f0559-RxU6U via @YouTube,owen_j_ward
56,2020-03-26 23:05:39+00:00,"Coronavirus China Italy Spain USA India; Coronavirus News | Coronavirus Outbreak China Italy USA LIVE Updates; Spain Germany Iran France Plus World Novel Corona (COVID 19) Cases Death Toll Today | 195 देश और 23,588 मौतें: ब्रिटेन… http://thepoolbattle.com/coronavirus-china-italy-spain-usa-india-coronavirus-news-coronavirus-outbreak-china-italy-usa-live-updates-spain-germany-iran-france-plus-world-novel-corona-covid-19-cases-death-toll-today-195/",TheBattlePool
57,2020-03-26 23:05:26+00:00,@MumbaiPolice @MahaDGIPR @MoHFW_INDIA @ritesh_idnani @C_P_Gurnani @pranavbirje #CoronavirusOubreak #COVID #Techmahindra audaciously breaching govt regulations and risk employees health blatantly. #AnandMahindra sir poor state of affairs! Proofs &amp; details to follow.. watchout!!,blasphemousoul
58,2020-03-26 23:05:23+00:00,"Not necessarily an effect, but every day I scroll through my feed and organically stumble upon news/info of clusters popping up in different countries, but I have yet to stumble on any news of Covid-19 impacting India, a developing country as big as China. ",Crypthoes
59,2020-03-26 23:05:12+00:00,@pmo @ICMRDELHI india is doing everything right to fight covid 19 except one. We need to be increasing our rate of testing atleast by 5 times. US and Italy got in trouble the same way and we are heading for trouble. Please increase testing #CoronavirusOubreak #pmoindia,kunalkaul1420
60,2020-03-26 23:04:59+00:00,#India: Doctor Assaulted On Her Way To Hospital. She’s Not The Only Medic Being Attacked. #healthcare professionals in India being evicted from homes because of #coronavirus. #COVID #Modi #BJP https://www.buzzfeednews.com/article/nishitajha/coronavirus-india-doctors-nurses via @NishSwish,haqsmusings
61,2020-03-26 23:03:13+00:00,Has India recorded any Covid-19 cases?,S_Momoza
62,2020-03-26 23:03:10+00:00,India Rejects American Scientists Prediction of 1.3 Million Domestic COVID-19 Cases by May : https://sputniknews.com/india/202003261078717348-india-rejects-american-scientists-prediction-of-13-million-domestic-covid-19-cases-by-may-/ via @SputnikInt,FarooqmoinMoin
63,2020-03-26 23:00:00+00:00,IN PICTURES: India converts sports stadium into quarantine facility..... #Assam #India #CoronavirusLockdown #CoronavirusIndia #CoronavirusOutbreak #Coronavirus #COVID #COVID2019 #COVID19outbreak #COVIDー19 #COVID19,TPE_connect
64,2020-03-26 22:59:55+00:00,"As I don’t trust this rally, I initiated hedges in $RWM $TWM and $SQQQ - even looking beyond the immediate COVID-19 future, there is no way Tech and Small-Caps can keep rising with countries line US, India and Brazil still going into lock-down",dbleckmann
65,2020-03-26 22:59:25+00:00,"In Taiwan, no gold rush. Went to bank, Oz coins, swiss bars, normal premiums. Got me thinking, India demand about to spike, covid just starting there. China? Retail still locked down closed, what happens when opens?",uslvtrader
66,2020-03-26 22:57:38+00:00,"My suggestion to our country-- Arrange for the ""wash basins with water supply"", hand wash liquid, Tissue papers and sanitizer at - All traffic signals, toll gate, entrance of hospitals, parking area, apartments etc. Personal hygiene is only way to avoid spreading of COVID-19.",Riaz__786
67,2020-03-26 22:57:23+00:00,"A Índia registrou 722 casos e 16 mortes de covid-19, contudo estima-se números maiores devido a ausência de kits de testes para a população. O sistema de saúde, que antes já mostrava-se deficitário para vários indianos, prevê colapsar em algum momento de abril. ",Geopizzza
68,2020-03-26 22:56:55+00:00,#COVID2019 update Total Infections 529053 Deaths 23963 India Inf 722 Deaths 16 It's better to have Lathi than Superbug Covid 19. ,Motha_Bhau
69,2020-03-26 22:56:43+00:00,"My suggestion to India-- Arrange for the ""wash basins with water supply"", hand wash liquid, Tissue papers and sanitizer at - All traffic signals, toll gate, entrance of hospitals, parking area, apartments etc. Personal hygiene is only way to avoid spreading of COVID-19.",Riaz__786
70,2020-03-26 22:56:25+00:00,"My suggestion to India- Arrange for the ""wash basins with water supply"", hand wash liquid, Tissue papers and sanitizer at - All traffic signals, toll gate, entrance of hospitals, parking area, apartments etc. Personal hygiene is only way to avoid spreading of COVID-19. ",Riaz__786
71,2020-03-26 22:55:18+00:00,3 New deaths in USA. Total deaths in USA: 1201 4 New deaths in India. Total deaths in India: 20 1 New death in Morocco. Total deaths in Morocco: 11 #Covid_19 #COVID2019,Covid19Rtn
72,2020-03-26 22:55:17+00:00,22 New cases in Pakistan. Total cases in Pakistan: 1201 5 New cases in India. Total cases in India: 727 1 New case in Guatemala. Total cases in Guatemala: 25 #Covid_19 #COVID2019,Covid19Rtn
73,2020-03-26 22:54:55+00:00,News Analysis | COVID-19 an opportunity for India’s health diplomacy https://newsline.co.in/2020/03/27/news-analysis-covid-19-an-opportunity-for-indias-health-diplomacy/,Newslin07952424
74,2020-03-26 22:54:48+00:00,India Deploys Defence Units to Help Civilian Authorities in the Fight Against COVID-19: https://sputniknews.com/india/202003261078714966-india-deploys-defence-units-to-help-civilian-authorities-in-the-fight-against-covid-19/ via @SputnikInt,FarooqmoinMoin
75,2020-03-26 22:54:37+00:00,India has a population of 1.3 BILLION people and only 722 confirmed cases of covid-19. Meanwhile we’re leading the world in confirmed cases with 80k+ cases. We’re so ass man.,monte11081
76,2020-03-26 22:53:59+00:00,What can we do for you ? #Covid19Out @jaipur_police @RajGovOfficial @PMOIndia #TeamKalptaru #Covid_19india @UNEP @SBI_FOUNDATION @UNDP_India @BharatKumar1857 @prashanti14 @KirenRijiju @GretaThunberg @unhabitatyouth @SDG2030 @PiyushGoyalOffc,KalptaruNursery
77,2020-03-26 22:52:44+00:00,@realDonaldTrump stop being a disgrace to the human race and issue a lockdown. NOW! omg - just issue a damn 21 day lockdown! India - a freaking developing country with a billion people - have more control over COVID-19 than the USA and your useless administration. Get it together,icecreamwithire
78,2020-03-26 22:52:03+00:00,في اليوم الثاني من الحظر التجول في #الهند ظهر حيوان الزباد و هو من الثديبيات المتلاشية و مهددة بالانقراض و لم تظهر منذ عام 1990 شيء ما يحدث في الارض #COVID2019 #CoronaVillains #CoronavirusPandemic #COVID #India ,Alhakabatl
79,2020-03-26 22:51:45+00:00,#Covid_19 #CoronaVirus #India ,World_News_YoTu
80,2020-03-26 22:51:39+00:00,I thought Indian people will decrease by 2/3 percent. to kiss US population. India records highest jump of Covid-19 deaths in a day ,AyoubelMotreb
81,2020-03-26 22:51:14+00:00,"#IndiaFightsCorona India is vigorously fighting COVID-19. In order to protect ourselves and others, it is highly important that we stay indoors, failing which may lead to legal actions. via NaMo App",DevarshiJoshi14
82,2020-03-26 22:51:02+00:00,"#IndiaFightsCorona A total of 118 laboratories has been included by ICMR for testing COVID-19. This has now enabled India to test 12,000 samples each day. via NaMo App",DevarshiJoshi14
83,2020-03-26 22:51:00+00:00,"Looking a bit like the #Olympics medal table now. #USA at first, #China at second. Hopefully #India will continue to remain on the lower end. #ChineseVirus19 #ChineseVirus #COVID2019 #COVID ",LightLawliet42
84,2020-03-26 22:50:26+00:00,"India government supports is $22bn. N120 billion is not enough to eradicate covid 19 in Nigeria, they should at least allocate $21bn ",mubaraksumar02
85,2020-03-26 22:50:00+00:00,Suspected COVID-19 patient escapes Srinagar hospital after stray dogs enter ward.... #Srinagar #India #CoronavirusIndia #CoronavirusOutbreak #Coronavirus #COVID #COVID2019 #COVID19outbreak #Covid19India #COVIDー19 #COVID19,TPE_connect
86,2020-03-26 22:48:09+00:00,"Earth's on holiday these days. Relief. Recovering. Who's the ACTUAL VIRUS to this world, #Covid19 or Us? #ChineseVirus19 #CoronaVillains #COVID2019 #earth #covid19nepal #coronavirusindia #covidindia #COVIDIDIOT",BlurOverBnW
87,2020-03-26 22:47:28+00:00,COVID-19 – Reader’s Message From India – India Now Locked Down http://doncharisma.org/2020/03/26/covid-19-readers-message-from-india-india-now-locked-down/,don_charisma
88,2020-03-26 22:47:01+00:00,India denies the export of the drug Trump keeps touting for COVID-19 ,xileenie
89,2020-03-26 22:46:22+00:00,"Thanks for the brilliant planning by you, a must help for people of orissa at this time... A suggest to compulsory implement island quarantine of all covid 19 positive patients in a Island near coastal bed of orissa, a similar plan can be be implemented for india as well ",Harischandrami2
90,2020-03-26 22:46:05+00:00,Because ppl are idiots. Look at Italians still leaving homes... Poland. Every day 300 break a strict quarantine (for diagnosed and declared sick of covid). I would welcome scenes like the ones in India. Sadly we are a democracy and we can’t slap ppls asses with sticks :(,Huxflux6
91,2020-03-26 22:45:53+00:00,Five tons of chloroquine medicine land in Greece from India to fight Covid-19 | http://TornosNews.gr - Tornos News International Edition,HellasNewsFeed
92,2020-03-26 22:44:39+00:00,Honourable Prime Minister of India Narendra Modi: Leveraging Ayurveda/AYUSH medical systems to combat Covid-19 - Sign the Petition! http://chng.it/b7RDxJBP via @Change,hwakkiraju
93,2020-03-26 22:43:34+00:00,"By remaining cautious and not freaking out, you can manage the on-door deliveries and grocery shopping (when allowed & essential) with minimal risk #CovidIndia2019 #covidindia ",prateek81184
94,2020-03-26 22:42:02+00:00,Two more death due to COVID-19 infection in India - ,SaraBangla
95,2020-03-26 22:41:25+00:00,@narendramodi is the prominent face in all #G20VirtualSummit pictures because of his closeup view. Is this a clever move to highlight India's leadership in the global fight against the #ChineseVirus19? #G20 #G20Summit #NarendraModi #ChineseVirus #COVID2019 #COVID,LightLawliet42
96,2020-03-26 22:39:30+00:00,"Stay home n dont go out n dance , lock down america just like India then and then only situation will get better : courtesy COVID-19",lakhanhathi
97,2020-03-26 22:39:28+00:00,COVID-19 India: This is how local police punish anyone who violates nation's 21-day lockdown ,ttakach1972
98,2020-03-26 22:35:34+00:00,"India has prepared a graded action plan with a three-week to three-month horizon to respond to the Covid-19 challenge, which includes staggering financial incentives so as to not exhaust options early in the fight.",ImtiazMadmood
99,2020-03-26 22:35:06+00:00,"Beatings and push ups are the answer we've all been looking for to defeat covid, thank you India! ",jka426smo
100,2020-03-26 22:34:27+00:00,Coronavirus India lockdown Live Updates: COVID-19 Outbreak Lockdown Day 03 Live Updates March 27 – Coronavirus Lockdown Live Updates: देश में कोरोना संक्रमित लोगों की संख्या 700 के करीब पहुंची ,NewsExpress_
101,2020-03-26 22:31:38+00:00,"Vete a la India...vas a estar muy seguro de no contagiarte de Covid, pero no te salvas de pescar una tifoidea ",adriana_arriaga
102,2020-03-26 22:31:21+00:00,India Promises $22B In Relief For The Nation’s Poor To Ease COVID-19 Pain ,wallabycard
103,2020-03-26 22:29:23+00:00,So far my estimate is India is showing my adapted country how to protect its citizens during Covid Pandemic. ,jagtap_lalit
104,2020-03-26 22:28:51+00:00,"@theshishaking Observe The Indians Are Calling it a Chinese Covid-19, that goes to show Racism &amp; Bigotry. The Indian Beggars Still Need to Introduce Indoor Plumbing. I have worked in India, a Fake Nation Based on Mirages, Dust Devils, Hindutva Facade &amp; Chicanery.Bughul Mehn...",KhanBab52514301
105,2020-03-26 22:28:29+00:00,"US reports most Covid-19 cases in the world today. India locks down, and more in this week's TX360 Digest #globalsecurity #corporatesecurity #securitytechnology #emergingrisks #securitymanagement #securityintelligence #covid19 #coronavirus #globalhealth https://lnkd.in/gg4eua2",SwanIslandNet
106,2020-03-26 22:28:22+00:00,India is 17.7% of the population and has very low COVID-19 numbers. That doesn't seem correct. https://www.worldometers.info/world-population/india-population/,scottf200
107,2020-03-26 22:26:49+00:00,"With 14k-odd new cases on March 26, USA tops the chart in having more number of Covid-19 positives at over 82K, Italy inching closer to get to the second position, India on the other hand crosses the 700-mark with 65 new cases including one from #Odisha #Covid19Updates",SandeepMishra42
108,2020-03-26 22:25:36+00:00,"The 2015 swine flu outbreak in India occurred 6 years after the swine flu had supposedly run it course. You don’t have any idea how many Americans will ultimately die from COVID-19. The Ohio health department claimed that 100,000 Ohioans were infected, with 0 deaths.",joedrummond2000
109,2020-03-26 22:25:18+00:00,"A lockdown is a plan not a decision. The lockdown in India can become a death knell leading to more deaths due to starvation than from Covid19 If Covid related deaths concern you but lockdown induced starvation doesn’t, u really need to check ur perspectives",sakie339
110,2020-03-26 22:25:17+00:00,Sir/Madam Please read the enclosed COVID-19: India Action Plan For Today &amp; Tomorrow &amp; work towards its implementation in your role @SrBachchan @prakashraaj @BeingSalmanKhan @iamsrk @aamir_khan @KChiruTweets @Mohanlal @mammukka @urstrulyMahesh @PawanKalyan @tarak9999 @Suriya_offl,PrahladKH1
111,2020-03-26 22:24:35+00:00,@PatUnleashed one positive with covid 19 as All India is in lock down no Robocalls!!!!! Thank goodness!!!!,fizizive001
112,2020-03-26 22:23:25+00:00,India update 4 #Covid_19 this is how you encourage #lockdown #كورونا_الجديد #الزم_بيتك,ahmed_alonazi
113,2020-03-26 22:22:49+00:00,Punjab police the reason why covid-19 hasnt made a outbreak in india. ,Baltajxk
114,2020-03-26 22:22:16+00:00,The Beauty(India) and the Beast(Covid-19) How the deadly beast made us realise India is no less beautiful than any other country in this world! #StayHomeStaySafe #IndiaFightsCoronavirus #CoronavirusPandemic #Lockdown21 #ChineseWuhanVirus #QuarantinedLife #jinzzy #jinzzyondemand,myjinzzy
115,2020-03-26 22:21:29+00:00,Odisha plans India’s first dedicated 1000 bed COVID 19 hospital.. well done @Naveen_Odisha ! ,thatzcharming
116,2020-03-26 22:21:17+00:00,"Covid-19 patient dies in Mumbai, 5 deaths in Maharashtra so far - India News ",ahfazquazi
117,2020-03-26 22:20:26+00:00,COVID-19 India: This is how local police punish anyone who violates nation's 21-day lockdown http://nationalpost.com/wcm/6f6da51b-380e-48e3-a6a3-2c69f08a3616 via @nationalpost,fbaqir
118,2020-03-26 22:18:51+00:00,"இந்தியாவில் யார் யாரையெல்லாம் காவு வாங்கியது இந்த கொரோனா? If you are seriously interested, Don't forget to Spread this to all... https://youtu.be/98ZPTGxFDM8 india,covid-19,coronavirus india,coronavirus in india,coronavirus cases in india,india coronavirus,covid-19 testing",sathishapt
119,2020-03-26 22:18:42+00:00,Modi brought hundreds of Muslims back to India amid the outbreak of COVID 19! But Malicious Fool like you can't see it.,amin_niket
120,2020-03-26 22:18:29+00:00,Death toll in India Digebukin aparat &gt; Covid-19 ,LatifAbdurrahim
121,2020-03-26 22:18:22+00:00,"India may see up to 13 lakh COVID-19 cases by mid-May, scientists warn - https://telanganatoday.com/india-may-see-up-to-13-lakh-covid-19-cases-by-mid-may-scientists-warn Means... 1 in 1000 *0.1%* of Indian population It's serious concern",vodhkaa
122,2020-03-26 22:18:18+00:00,"Sir/Madam Please read the enclosed ""COVID-19: India Action Plan For Today &amp; Tomorrow"" &amp; work towards its implementation in your role. @NimmaShivanna @nimmaupendra @dasadarshan @KicchaSudeep @PuneethRajkumar @TheNameIsYash @Official_Ganesh @Jaggesh2 @SathishNinasam @AjaiRao",PrahladKH1
123,2020-03-26 22:17:04+00:00,"The National Task Force for COVID-19 in India recommends HYDROXYCHLOROQUINE for PROPHYLAXIS against #COVID19 in ""Asymptomatic healthcare workers involved in the care of suspected or confirmed cases of COVID-19."" Dose: HCQ 800mg (Day 1), then 400mg weekly https://www.mohfw.gov.in/pdf/AdvisoryontheuseofHydroxychloroquinasprophylaxisforSARSCoV2infection.pdf",FrackingFreeIL
124,2020-03-26 22:16:55+00:00,#US has become world leader in COVID-19 too with maximum number of cases confirmed. Several so called schoolers from US are blaming India on imposing wilful lockdown. Time for US to understand that #Freedom is not free and is at a COST.,Ghegde2
125,2020-03-26 22:16:50+00:00,@narendramodi @PMOIndia @ArvindKejriwal @WHO @MoHFW_INDIA We need to relook our country streategy in fighting the COVUD-19. Along with the current measures we need to identify the areas which are free from the COVID 19 from where we doubt to be infected,parikshit1308
126,2020-03-26 22:16:17+00:00,"இந்தியாவில் யார் யாரையெல்லாம் காவு வாங்கியது இந்த கொரோனா? If you are seriously interested, Don't forget to Spread this to all... india,covid-19,coronavirus india,coronavirus in india,coronavirus cases in india,india coronavirus,…https://lnkd.in/fPGG3pt",sathishapt
127,2020-03-26 22:15:48+00:00,"'' Nathalie and the Covid 19 '': Dear researchers, world leaders, journalists, it was easy to find the temperatures of China (Hubei province), India, Iran, Italy and France (The mildest winter since 1900, half the days of frost compared to what France usu…",Nathalie2nd
