"","some_txt","emotion","polarity"
"31","usa india news breaking breakingnews trumpliesaboutcoronavirus coronavirusupdate coronavirus trump china italy trump covidindia covid justintrudeau chloroquine newyorkcity usacoronavirus trumpslump covid japan wallstreet markets dollar uk investing","unknown","positive"
"32","in india which is the most dangerous virus either in covid or congress","unknown","negative"
"33","unparalleledunprecedentedpremea never worked so ingeniouslyinnovatively beyond protocolsoffice hoursstretching potential to new horizonsmea must be proud of its indomitable calibrecovidindia","joy","positive"
"34","when to wear maskdos and dont poster in englishadvisory on social distancing measure in view of spread of covid disease","unknown","neutral"
"35","covid turns out to be an opportunity to learn healthy habitscoronavirusoutbreakindia coronaalert","unknown","positive"
"36","wronglooks like youre not aware of anything india sunday pledged a contribution ofmillion towards a ‚Äòsaarc covid emergency fund‚Äô proposed by prime minister narendra modi during a video conference with other members of the regional grouping","joy","positive"
"37","‚se sabe como anda el covid en india","unknown","positive"
"38","eu gostaria inclusive se vcs pudessem trazer as informa„„es sobre a uni„o da palestina com israel unidos no combate ao covid e tamb„m informa„„es sobre os outros pa„ses asi„tico „çndia africa am„rica central e latina","unknown","positive"
"39","juntacurfew covid covid covidindia usr this opportunity","unknown","positive"
"40","cual es la difrencia de esta hp india facha con los q linchan a los enfermos con covid en la republica paraca ambos inbuidos de odio racismo por la ultraderecha trepadores malditos pero correa volvera curado de guevonadas dejandole el poder jidicial y el ejercito a nabot","anger","positive"
"41","yay awesome we need all the help right now youd be great in outreachmany effortsjoinwhatsapp me my number in groupsee this template only way to structuredmsday covidindia covidindia collaboration rockstarsdmme","joy","neutral"
"42","people in india are bathing in cow poop to make them immune to the virus cattle twitter maybe we can make this sows ear a silk purse after all covid crap baths open nowoff your first dip monthly memberships available","fear","negative"
"43","sir why gurgaon private sector is not getting work from home apart from that my company is terminating employees because of loss dont know how long our job and life is safecases of corona viruses covidindia covidindia","unknown","negative"
"44","please list out the full name and location of the covid positive cases including the details of their recent travel which they remember including the dates of travel with source and destination on busestrainsflightsauto rickshaws etc if","joy","neutral"
"45","doctors in india have successfully treated two italian patients with covid administering a combination of drugs ‚Äî principally lopinavir and ritonavir alongside oseltamivir and chloroquine goodcorvidnews","unknown","positive"
"46","spectator at indiaaustralia women‚Äôs world t final tested positive for covid mcg tworldcup fillthemcg coronavirus","unknown","positive"
"47","inocularles una dosis de covidpara que sean conejillos de india","unknown","positive"
"48","very very cool we clearly needto power our efforts tooat covidindia volunteers effort to contain covid in india","unknown","positive"
"49","today coronavirus digestive symptoms prominent among covid patients finds study","unknown","positive"
"50","government of canadacancel rent payments for international students during covidsign the petition","unknown","positive"
"51","read and protect ourselves from covidpunynagarimarchmaharashtra india","joy","positive"
"52","amidst all the conversation about its demographic dividend of india‚Äôs elderly population has grown at a rapid pace is an underdiscussed fact covid covidindia here‚Äôs some info about longitudinal aging study in india lasi","unknown","positive"
"53","idiots every where like apsingh lawyer nirbhayacase nirbhayaverdict nirbhayajustice nirbhayabetrayed restinpeace coronavirusupdate covidindia","joy","neutral"
"54","sir we are from india and due to new baby delivery my in laws travelled to usa in nov with b visa butsays going to be completed on th april as u know the condn of travel to india due to covidcan extn for them is possble plz suggst as th","unknown","positive"
"55","how india is responding to covid quarantine travel limits and tests","unknown","positive"
"56","how india is responding to covid quarantine travel limits and tests","unknown","positive"
"57","combing hiv and swine flue antiviral drugs with malaria drug dr prakash keshwani of sms hospital jai pur india cureditalian tourist suffering from covid dr rama s singh","sadness","negative"
"58","covid odisha confirms second covid positive patientbhubaneswar newstimes of india","unknown","positive"
"59","does toyota have anticovidfeature","unknown","positive"
"60","covidindia covidindia thanks allah ‡‡á corona ‡‡á‡‡ ‡‡‡Ä ‡‡‡Ç‡ó‡‡ ‡‡à ‡‡ ‡‡‡‡‡Ä‡ˇ‡á ‡‡â‡‡ç‡‡‡ˇ‡ ‡‡‡‡á ‡‡‡Ç‡ó‡‡á ‡‡à we love corona","joy","positive"
"61","this is so beautiful also bombay definitely needs more balconies to fight coronavirus now even pmmodi agrees jantacurfew bombayforbalconies covidindia","unknown","positive"
"62","india tells bn to observe oneday curfew to test against covidvia","unknown","positive"
"63","actortook to his twitter to share a video to laud the jantacurfew initiative by pm modi the actor who is famous for delivering monologue in his films made a monologue on pms speech he captioned the post coronastopkarona covidindia","unknown","positive"
"64","looking for a different perspective i had a chance to listen to bbc world for a biti always enjoy their news roomusually has news from parts of the world we never hear from in canada from homeless in california to covid prep in india today","joy","positive"
"65","wowthe thread is eye opening hindus and gurus in india claim they can cure everything from cancer to covid","unknown","neutral"
"66","coronavirus sikh devotees receive temperature checks and hand sanitizers before entering the golden temple sikhisms holiest pilgrimage site as india battles covid india reportedcovid cases and three deaths so far afp","unknown","positive"
"67","finally the justice has been served dil koh sukoon mil raha hai khabar padh ke nirbhayacase nirbhayaverdict covidindia","unknown","positive"
"68","a yearold man who died of coronavirus in mumbai hid travel history from officials india mumbai coronavirus coronavirusindia coronavirusoutbreak covid covid covid coronaindia","disgust","positive"
"69","one of my relatives came back from india and was willing to self isolate but she was asked to join work after two days due to shortage of staff worst part is she works at a care home for elders in delta bc who will be responsible here canada canadacovid covid","joy","neutral"
"70","india may be about to discover tens of thousands more covid cases","unknown","positive"
"71","coronavirus sikh devotees receive temperature checks and hand sanitizers before entering the golden temple sikhisms holiest pilgrimage site as india battles covid india reportedcovid cases and three deaths so far afp","unknown","positive"
"72","believers of jihad are immune to covid virus except in places like mecca and medina which chose to shut down jihadis indulging in violence is what expected in india not otherwise just loss of few millions of rupees is not a big deal india wont punish them anyway","joy","negative"
"73","one thing for surethe following are hazardous for your countryhealth and economy chinese gandhis chinese virus and chinese products chinesewuhanvirus coronavirusindia covidindia","unknown","negative"
"74","fares on ride hailing platforms such as uber ola and meru have hit rock bottom as demand for such services fell nearlyover the last two weeks just as india began taking measures to slow the spread of the covid virus","unknown","negative"
"75","sirwe are stuck because the transportation with in the country is banned and the flight facility also bannedno of covidpatients increasing so we want to return back to india","unknown","neutral"
"76","when a travel ban has been implemented on germany france then why are those countries not include in the below list germany and france havekk covid cases respectively and these countries are","unknown","negative"
"77","covid what you need to know today ‚Äì india news","unknown","neutral"
"78","why do you think a country like indiaa country close to china and has the second largest population in the worlddoesn‚Äôt have near the cases of ‚Äúpositive for covid‚Äù or ‚Äúdeath from‚Äù reason malaria medication is routinely used in indiait has been in use for overyears","joy","positive"
"79","today is judgement day we the poor people of india suffering in covidbut we are happy for the judgement to our sister nirvaya thanks to asha maa","sadness","negative"
"80","if we are to assume that india is already in the community transmission phase what steps need to happen now in the absence of data about the extent of spreadgeographical clusters of cases covid covidindia","unknown","negative"
"81","maam why are u not saying or commenting on covidoutbreak in indiais it not that important than the caa protestbecause at that time u made videos cried in many for protestorsbut now all ur tears n sympathy is gone corona is not a se","joy","negative"
"82","covid covidindia coronavirus indiafightscorona socialdistanacing","unknown","positive"
"83","selfisolation helps contain covid but also plays into the hands of govs that arent so keen on civil liberties in the first place in chile india or russia authorities and protesters are navigating new territory to determine just how much could alter the dynamics of power","joy","positive"
"84","india may be about to discover ampquottens of thousandsampquot more covid casesno toilet paper issues","unknown","positive"
"85","how many ventilators do we have in indiamr ghantabajao pm can you help us understand covid hr ‚Äòjanata curfew‚Äô on sunday no need to hoard don‚Äôt cut wages pm modi saysindia newstimes of india","unknown","negative"
"86","for how long i have to wait i am already in touch with your customer care through mails but no necessary action have been taken until today i was suppose to travel from japan to india on th mar but have to cancel my flight because of covid","joy","negative"
"87","indians stay home as much as possible these measures were taken in europe at a much later stage you have the opportunity to control the spread of covid now by selfisolation selfdistancing is the need of the hour act now before its too late covidindia","fear","neutral"
"88","well thats a wrap for bernienow imma focus on indias covid these ppl spreading propaganda are too vicious for my countrysee you in november","unknown","negative"
"89","more than k deaths with just close to k casesstill continues coviduk coronavirusupdate covidtr covidindia covidindia covid","joy","neutral"
"90","usa india news breaking breakingnews trumpliesaboutcoronavirus coronavirusupdate coronavirus trump china italy trump covidindia covid justintrudeau chloroquine newyorkcity usacoronavirus trumpslump covid japan wallstreet markets dollar uk investing","unknown","positive"
"91","passeddeaths despite massive lies by china india iran and northkorea the real numbers are many multiples of that covid covid coronavirusupdates coronavirus","anger","negative"
"92","google french health study covidtheylike indiahave been using a long studied medicationchloroquinein other words ‚Äúmalaria medicine‚Äù both in the injectionableampin tablet formonly a small sample patients given chloroquine negative afterdays positive","unknown","negative"
"93","fda approves use of hydroxychloroquine for covid","unknown","positive"
"94","haha what a joke india is doing far better than the west this time around look at the covidstats if youre literate who and west have praised efforts taken by the indian government three deaths so far less thaninfected inspite of sharing border and air traffic","unknown","neutral"
"95","india may be next coronavirus hotspot with avalanche number of cases experts warncoronavirusindia coronavirus coronavirusoutbreak coronaoutbreak india covid covid covid covid","unknown","negative"
"96","sirplease do consider some of the medicine approved for covidworld wide ampapprove the stock for india considering huge populationus says drug called chloroquine to treat coronavirusamp japanese flu drug ‚Äò favipira","joy","positive"
"97","covidindia indiafightscorona maybe you repurpose your factories to produce ventilatorsneeded not just by india but whole worldhumanitarian and at the same time profitable while considering automobile sector is downi make the statement with no experience in producing either","unknown","positive"
"98","bengal man arrested for selling cow urine dung as anticovid drugindia newscoronavirusoutbreak coronavirusindia corona covid covidindia","fear","negative"
"99","chinese mainland reports increase in domestically transmitted covid cases chinas wuhan the epicenter reports increase in novel coronavirus infections what a notable progress","unknown","positive"
"100","singing hosannas tothat seems to be the order of the day for corporate india experts are making dire predictions about the covid tsunami that stares india in the face but they will step out on their balcony for five minutes and applaud what an absolute travesty","fear","neutral"
"101","india covid control ideas are unique latest is a indiawide peoples curfew inspired by blackout drills in wartine a one day curfew to prepare for longer one fingers crossed","unknown","positive"
"102","fyi i haven‚Äôt cancelled the booking but i cannot travel to india bcz of covid i live in jalan and as per govt of india they are quarantining everyone fordays that‚Äôs a reason i cannot travel","joy","positive"
"103","respected hardeep s puri ji travellers who had booked their tickets to and from covid affected countries should get their money back without cancelation fee atleast provide us a credit which can be us","sadness","neutral"
"104","covid india resources and testing centres","unknown","positive"
"105","ive been out in the crowd thinking about the social log out what life is about not happy with people nor without should we give countries the benefit of doubt or should we focus in roundabouts covidindia blah socialdistancing contemplating","joy","negative"
"106","tragic but can someone put this in context where does covid rank in the list of health priorities in india","unknown","negative"
"107","datos que destrozan a cualquiera acabamos de llegar a losfallecidos por covid en el mundo es justo la misma cantidad de fallecidos al a„o que deja solo en la india la cobra india","unknown","negative"
"108","if that is so explain cases of covidin thailand malaysia mexico india peru indonesia singapore brazil australia cambodia and newzealand","unknown","positive"
"109","the policy in india has been not to test in order to keep numbers artificially low so that prime minister modi appears in control straight out of putin‚Äôs playbook coronavirusupdate coronavirusoutbreakindia coronavirus covid covid covid„É","sadness","positive"
"110","robots supplying face maskshand sanitizertissue paper to passengers arriving at kochi airport and answers on covid fatigue less service kerala leads the way make in india","unknown","negative"
"111","financial stimulus packages by various countries to combat the economic threat posed by covid ust spainb canadab franceb ukb italyb nzb sokb and then in modis indiajanata curfew ending with clapping of hands playing a siren gazab hai","unknown","neutral"
"112","pms address in a nutshell covidindia pmmodioncorona","unknown","positive"
"113","corona update india seals bordersno scheduled international flight will be allowed to land in india frommarchgoair also discontinues its flight‚Äôs tofrom goa air india also cancels a fewcheck goarocks for the latest updatecoronavirus covid","unknown","negative"
"114","‡‡‡‡‡‡ç‡‡ ‡‡ ‡‡Ä‡è‡‡ï‡á ‡‡ú ‡Ü‡ó‡ç‡‡‡‡‡‡ç‡ ‡‡Ç‡‡ç‡‡Ä ‡ï‡á ‡‡á‡‡É‡‡ç‡ ‡‡á‡Ç ‡ó‡†‡‡ covid economic response task force ‡‡á ‡Ü‡‡‡ç‡‡ï ‡‡à‡‡‡á ‡‡á‡‡á ‡ï‡ ‡Ü‡ó‡ç‡‡indiafightscorona","unknown","neutral"
"115","roshan boughtchocolates if he gavechocolates to his brother man the questions we used to see in our childhood are coming true covid covidindia mathstalk","joy","positive"
"116","to stop sending covid i adhere to the jantacurfew on nd march by staying home and requesting all tootake part of this event and be a responsible citizen of indiaindiafightscorona","unknown","positive"
"117","coronavirusupdate coronavirusoutbreakindia covid covidindia sanitizers bewareofcovid quarentinelife wewillfightcorona earthquake unitedasone indiafightscorona italy pmmodioncorona panicbuying stayathomechallenge socialdistanacing fightcovid gocoronacoronago","unknown","positive"
"118","‡‡à‡Ç ‡‡ ‡‡Ç‡ï‡‡ç‡ ‡‡á‡‡ ‡‡Ç‡Ç ‡ï‡ ‡ï‡ã‡‡ã‡‡ ‡ï‡á ‡‡‡‡Å‡‡ç‡ ‡á‡ ‡ú‡Ç‡ó ‡‡á‡Ç ‡‡Å‡ù‡‡á ‡ú‡ã ‡‡ ‡‡‡‡á‡ó‡ ‡‡à‡Ç ‡ï‡‡Ç‡Å‡ó‡‡ ‡‡‡‡‡‡ ‡ï‡ã ‡‡Å‡‡‡‡á ‡‡‡‡‡ú‡á ‡‡ï ‡ò‡ ‡‡ ‡‡Ä ‡‡‡Ç‡Ç‡ó‡ ‡‡ç‡‡‡Ç ‡ï‡ã ‡‡Ç‡ï‡ç‡‡‡‡ ‡‡‡Ä‡Ç ‡‡ã‡‡á ‡‡Ç‡Å‡ó‡‡ ‡‡Ä‡‡ ‡‡‡‡‡‡‡Ä ‡ï‡á ‡á‡ ‡‡ï‡‡ç‡ ‡‡á‡Ç ‡‡Ç‡‡ ‡î‡ ‡‡‡‡‡ ‡‡á‡‡Ä ‡‡‡‡á ‡‡‡‡Ä ‡‡‡ï‡‡ ‡‡à‡suhasbhagatbjp jantacurfew covidindia","unknown","positive"
"119","covidindia covid coronavirusupdate pmmodioncorona","unknown","positive"
"120","all though several people of muslim community brought india from different parts of world and been served properly against chinaviruscovid equally as others but still the modihaterpolitics of brokers of religion is at the swing even in such the crucial moment","unknown","positive"
"121","jantacurfew benefits ‡ï‡ã‡‡ã‡‡ ‡‡‡‡‡ ‡ï‡á ‡ñ‡‡‡‡ ‡ú‡‡‡ ‡ï‡‡ç‡‡ç‡‡Ç ‡ï‡á ‡‡‡‡‡á covidindia covidindia","unknown","positive"
"122","people from islamic countries are coming to telanganaindia with a wrong motoplease do not allow them into our country for our people safetykarimnagar covideffected mob of people is an example of thatotherwise we will","unknown","neutral"
"123","engineliter lsx racing engine chassis jeep xjsince i have it name charlie oscar victor india delta one niner covid","unknown","positive"
"124","india is already testing random people for covid like you suggest source","joy","positive"
"125","india pm asks the people to help combat covid coronavirustravelnews tourism travel","unknown","neutral"
"126","america a falling empire look how it seeks china and india for advise and guidance on covid anderson cooper of the cnn is flanked on the left by indian md sanjay gupta and on the right chinese md seana wen the rise and fall of the us empire","unknown","negative"
"127","this is important for delhites this is truly in our hands how we take it so guys dont take this lightly and please take necessary precautions stay safe and save your people as well delhimetro delhi covidindia covid","joy","positive"
"128","when any message spreads very fast in social media we say its viralwhy no bacterial no fungal or not any other comparable wordbecause virus spreads fastest be serious take care ‡ú‡ ‡‡ã‡‡á‡‡‡ covidindia chinesewuhanvirus","joy","negative"
"129","janatacurfew is an excellent awareness idea for social distancing i pray for least impact of covid on india frankly india cannot confront it due to it medical infrastructure but our ancestors already taught us best ideas to avoid spreading","unknown","negative"
"130","amidst coronavirusoutbreakindia we need mask sanitizers handwash amp full testing facilities fr covid frm govt snd but what govt announced jantacarfew on nd march amp thalibajao in ur balcony or home wtf is going in india are we serious to deal with coronavirus realy","unknown","negative"
"131","meanwhile in indiajantacurfew forhours fordaymake loud noise to boost moraleincrease tax on petrol amp diesellowest of the covid testing in the world covid coronacrisis coronavirusoutbreakindia pmmodioncorona","unknown","neutral"
"132","spoke like a real leader coronavirusoutbreakindia this is wat real leaders do when people look upto himher during crisiswe need concrete steps m u let people feel tat govt is with them pls do morecovidindia","joy","negative"
"133","covidhealth ministry said not panic but need to be prepared anncovid ‡‡ç‡‡‡‡ç‡‡ç‡ ‡‡Ç‡‡ç‡‡‡‡ ‡‡á ‡ï‡‡ latest breaking newscelebrity news and gossipthe india news today","fear","negative"
"134","modi never behaved like a responsible pmhe should have taken safety measures to counter spread of covidbt he did a pr show instead of having press conference on covid amp enabling maximum teststhis happens when an illiterate man became pm of indiamera bharat mahan","joy","negative"
"135","prime minister of india mr narendra modi addressed the nation this eveningmarch on combating covidlink to the text of pm‚Äôs televised speech","unknown","negative"
"136","syscoin syscoin weekly update‚Ä binance live ama for china ‚Ä sys listed on pionexcom singapore amp coindcx india ‚Ä agxpay mobile versionreleased ‚Ä the second syscoin fun challenge is live ‚Ä covid update link in thread ‚Ä","joy","negative"
"137","sorry to say this but still world is at paini mean earth because of humansis the year that will endures the humans in worse way covidtr covid covid covidon covidpain covidindia coronavirusoutbreakindia coronavirusupdate coronavirusindia","sadness","negative"
"138","there won‚Äôt be a lot of humans left to protest for if covid has its way all public gathering period should be stopped emergency style otherwise india is looking at a death toll in thethousands","unknown","negative"
"139","you dont come out you dont clap there is no big deal understand the difference between requests and orders without being an asshole there are people who are working constantly in this time of crises and they deserve clap social idiot coronavirusoutbreakindia covidindia","unknown","positive"
"140","we are starting a project to help with covid response in india please check outto see how you can help contribute covid indiafightscorona","joy","positive"
"141","social distancing done right quarantinelife quarantineandchill covidindia","unknown","positive"
"142","economic stimulus packages in response to covid ukbillion ustrillion francebillion nzbillion italybillion canadabillion south koreabillion indiajanata curfew amp clapping hands in the balcony on sunday","unknown","positive"
"143","good suggestions bt you mst hv to consider this as a fact tht india is nt as much self sufficient as usa our population and its density is quite high so complete lockdown would create jst a panic situationamp hoarding of necessary goods would one of its major drawback covid","anger","positive"
"144","an important message from pmji to the nation to fight against coronavirusjantacurfew to prepare us for upcoming challengesi alwsys stand with prime minister janatacurfew coronavirusupdate coronavid coronavirusinindia covid covidindia covidtr","unknown","neutral"
"145","economic stimulus packages in response to covid ukbillion ustrillion francebillion nzbillion italybillion canadabillion south koreabillion indiajanata curfew amp clapping hands in the balcony on sunday","unknown","positive"
"146","vers„o high tech da carimbada da „çndia as controversial tracking starts people who were in close contact with those confirmed to have covid are informed by text message they must homequarantine","anger","negative"
"147","syscoin weekly update‚Älive ama for china ‚Ä sys listed onsingapore ampindia ‚Ämobile versionreleased ‚Ä the second syscoin fun challenge is live ‚Ä covid update link in thread","joy","negative"
"148","covid modi announces janta curfew in india on march","unknown","positive"
"149","no passenger aircraft will be allowed in india from hrs istmarch tillhrs istmarchindias protective measures to stop the spread of covid","joy","positive"
"150","something is wrong today in the world not talking of coronailhan omar lauds trump in us and these people positive about modi in india i am not worried about covid but i‚Äôm scared with these folks behavior","fear","negative"
"151","covid emergency numbers of the embassy of india abidjanampyou also reach us at hocabidjangovin stay bless","unknown","positive"
"152","they made us cheer wen gdp equalleduk‚Äôsthis budgetuk gave ‚ b to fightcovid besides usual ‚bfor healthwe in india reducedallocation to healthbudget despite covid scare ukgave ‚bmore tocovid fight ampmodiji givingtaaliampthaali to health staff how do we cheer this","anger","negative"
"153","we had a group travelto co for our wedding due to covid restrictions the family is not coming from india no refunds are given byits a total loss for us while we are social distancing cancelled our wedding swa nt accommodating in d crisis","unknown","negative"
"154","i urge the govt to build temporary hospitals atleastin numbers like the one china built in wuhan dedicating it only to covid patients this will reduce the burden on our hospitals","joy","positive"
"155","sirwould it be possible to have this tweet also in englishgood for other indians who have some challenges in understanding hindi and for us who in western world want to showcase itcoronaviruschallenge covidindia wuhancoronavirus","unknown","positive"
"156","they made us cheer wen gdp equalleduk‚Äôsthis budgetuk gave ‚ b to fightcovid besides usual ‚bfor healthwe in india reducedallocation to healthbudget despite covid scare ukgave ‚bmore tocovid fight ampmodiji givingtaaliampthaali to health staff how do we cheer this","anger","negative"
"157","haz click en los links debajo para acceder al discurso televisado del primer ministro modi realizado elde marzo delsobre la lucha de india contra el covid y las acciones tomadas en esta materia en hindien ingles","unknown","positive"
"158","mitigate risks of covid for the people of jammu amp kashmir by immediately restoring full access to internet servicesamnesty international india","unknown","positive"
"159","corona statisticsindia hasof world populationindia has onlyof the total corona cases reported globallyindia stands atamongst the list of covid cases pmji has done a great job to manage the disaster stopbhashanshowaction","joy","negative"
"160","siru made us cheer wengdp equalleduk‚Äôsthis budgetuk gave ‚bto fightcovid besides usual ‚bfor healthwe in india reducedallocation to healthbudget despite covid scare ukgave ‚bmore tocovid fight ampmodiji givingtaaliampthaali to health staffu want us to cheer this","anger","negative"
"161","please click the links below to access to the prime minister modis televised speech given on th marchregarding indias fight against covid and the actions taken in this regard for hindifor english","joy","positive"
"162","what india should have learnt to prepare for covid was the need to publicly finance health","unknown","neutral"
"163","covid australia adhi india gai dhiriulhemundhaa dhivehin samaaluvumah angaifi","unknown","positive"
"164","china lied people died covidindia corona covid","unknown","positive"
"165","pm modi on coronavirus outbreak world war i ii didn‚Äôt affect as many countries as covid ‚Äì india news","anger","negative"
"166","taiwan hasmillion masks a day widespread tracking and justdeath despite being close to the outbreak pmoindia pmo covidindia covid coronavirusoutbreakindia","anger","negative"
"167","this is what india and the world needs stand against covid instead of standing against each other peace","unknown","positive"
"168","politics without ethics worst played by neo nazis bjp modi amitshah in unforgettable india mpcrisis with covidindia covid full on with active help of supremecourtofindia scindia bjpkidnapsmlas bjpmuktbharat whoisreadytolisten banrss janatacurfew modistrikeoncorona","unknown","positive"
"169","start accumulating considering the covid cases in india are real n fully tested","unknown","positive"
"170","nature tells you ‚Äòeverything will be alright just let me settle down first respect my wildness and better that you just takecare of me now creepy humans to supporting you and bring your family in my go green behaviour‚Äô codvid covidindia mothernature indiafightscorona","joy","positive"
"171","usa india news breaking breakingnews trumpliesaboutcoronavirus coronavirusupdate coronavirus trump china italy fda trump covidindia covidjustintrudeau chloroquine newyork newyorkcity usacoronavirus trumpslump covid covidindia","unknown","positive"
"172","we had a group travelto co for our wedding due to covid restrictions the family is not coming from india no refunds are given byits a total loss for us while we are trying to be socially responsible swa is trying to make money out of this crisis","unknown","negative"
"173","covid ‚Äòibuprofen can worsen covid use paracetamol‚Äôindia newstimes of india","unknown","negative"
"174","covid ‚Äòibuprofen can worsen covid use paracetamol‚Äôindia newstimes of india","unknown","negative"
"175","precautions is better than cure protect yourselfampothers from getting sick be supportive careful alert kind covid covidon covidpain covid covidsverige covidindia coronavirusoutbreakindia coronavirusupdate corona indiafightscorona staysafestayhome india","joy","positive"
"176","sabe oq n„o to entendendo nessa hist„ria do covid como a „çndia s„ temcasos com uma densidade populacional deahabitantes por km ser„ q eles est„o tomando mais cuidados do q aki essa conta pra mim n„o fecha viruschines coronavirus covidon","unknown","positive"
"177","three tourists including italian couple sent back russian citizen to leave tomorrow tourists russiancitizen coronavirus italiancouple kashmir govt covid india","unknown","positive"
"178","covid hr ‚Äòjanata curfew‚Äô on sun no need to hoard don‚Äôt cut wages pm modi saysindia newstimes of india","unknown","negative"
"179","prime minister focusing on controlling covid and an ally hosting mela frommarch to nd april i think not a great time to do so no need to make india second italy","joy","neutral"
"180","alertmarchgmt statistics shown below of covid especially in italy amp iran are not promising coviditalia covid covidindia covidindia covidon covidnigeria covidus covidpain covidaustralia wuhanchina chinahidthevirus chinacoronavirus","unknown","positive"
"181","precautions is better than cure how to protect ourselves and others be safe smart kind covid covidon covidpain covid coronavirusoutbreakindia covidindia coronavirusupdate corona staysafestayhome staysafe stayathome stayhome indiafightscorona india world","joy","positive"
